Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta, Philippines",9500000,4,3,144,136,14.5823408,121.1180438
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria, Philippines",4400000,3,2,63.2,80,14.8077154,121.0024016
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Zambowood Rd. Boalan, Zamboanga, Philippines",7810000,5,3,100,110,,
"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Aningway Sacatihan, Subic, Philippines",,3,2,67,88,14.7178136,120.531325
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",3275000,2,1,40.32,78.4,6.9483885,122.1148889
"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Km.71, North Luzon Expressway Panipuan, Mexico, Philippines",3167300,,,39.64,100,,
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Tugbok, Davao, Philippines",1800000,2,2,52,40,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Caingin, San Rafael, Philippines",8428000,5,3,142,121,14.9131781,120.2282421
2-Bedroom House and Lot For Sale in Camella Pili,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",3565000,2,1,46,63,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Sun Valley, Paranaque, Philippines",28650000,3,3,219.3,90,14.4270005,121.0452782
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Ungka II, Pavia, Philippines",3500000,3,2,102.39,154,15.0941848,120.6701583
"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Aningway Sacatihan, Subic, Philippines",5300000,3,2,70.27,67,7.1035383,125.4948467
"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael, Philippines",1800000,2,1,46,41,14.9717467,120.9434431
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Bugtong Na Pulo, Lipa, Philippines",7337000,4,3,85,99,15.4710779,120.9821312
Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Pasong Camachile I, General Trias, Philippines",45001005,6,5,337,350,14.4888415,121.0325173
3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Antero Soriano Highway Sahud Ulan, Tanza, Philippines",4080345,3,2,52,80,10.7529006,122.5376029
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Sapang Biabas, Mabalacat, Philippines",10082000,5,3,142,176,14.9131781,120.2282421
"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Tugbok, Davao, Philippines",1800000,2,1,46,41,14.9717467,120.9434431
"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Cupang, Muntinlupa, Philippines",7500000,4,3,119,150,13.9984308,121.1674592
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",2292960,3,1,40,40,14.3723207,120.8976745
For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Pasong Camachile I, General Trias, Philippines",5251000,2,2,53,88,,
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Aningway Sacatihan, Subic, Philippines",2258057,3,1,45,62,14.366749,120.8184475
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Santo Domingo, Cainta, Philippines",11757000,5,3,166,176,,
"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","San Vicente, Santa Maria, Philippines",1400000,2,1,40,40,15.1987752,120.6026101
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Zambowood Rd. Boalan, Zamboanga, Philippines",5300000,3,2,70.27,67,7.1035383,125.4948467
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Aningway Sacatihan, Subic, Philippines",32342000,3,3,247.4,93,14.4378843,121.0503212
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",26393000,3,3,219.3,91,14.4270005,121.0452782
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Km.71, North Luzon Expressway Panipuan, Mexico, Philippines",2389000,3,1,50,50,14.3723207,120.8976745
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm","Tugbok, Davao, Philippines",12772000,5,3,166,246,14.9131781,120.2282421
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Caingin, San Rafael, Philippines",3500000,,,,104,14.1839549,121.1072903
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Emilio Vergara Hwy Santa Arcadia, Cabanatuan, Philippines",9500000,4,3,144,136,14.5823408,121.1180438
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","Sun Valley, Paranaque, Philippines",4400000,3,2,63.2,80,14.8077154,121.0024016
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Ungka II, Pavia, Philippines",7810000,5,3,100,110,,
"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Alapan II-A, Imus, Philippines",,3,2,67,88,14.7178136,120.531325
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Aningway Sacatihan, Subic, Philippines",3275000,2,1,40.32,78.4,6.9483885,122.1148889
"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Caingin, San Rafael, Philippines",3167300,,,39.64,100,,
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Bugtong Na Pulo, Lipa, Philippines",1800000,2,2,52,40,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Pasong Camachile I, General Trias, Philippines",8428000,5,3,142,121,14.9131781,120.2282421
2-Bedroom House and Lot For Sale in Camella Pili,"Antero Soriano Highway Sahud Ulan, Tanza, Philippines",3565000,2,1,46,63,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Sapang Biabas, Mabalacat, Philippines",28650000,3,3,219.3,90,14.4270005,121.0452782
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Tugbok, Davao, Philippines",3500000,3,2,102.39,154,15.0941848,120.6701583
"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",5300000,3,2,70.27,67,7.1035383,125.4948467
"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Cupang, Muntinlupa, Philippines",1800000,2,1,46,41,14.9717467,120.9434431
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Pasong Camachile I, General Trias, Philippines",7337000,4,3,85,99,15.4710779,120.9821312
Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Carsadang Bago I, Imus, Philippines",45001005,6,5,337,350,14.4888415,121.0325173
3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Longos, Malolos, Philippines",4080345,3,2,52,80,10.7529006,122.5376029
"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model","Aguinaldo Highway San Agustin I, Dasmarinas, Philippines",3336800,4,2,70,60,14.4084522,120.8964956
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Alapan II-A, Imus, Philippines",10082000,5,3,142,176,14.9131781,120.2282421
"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Longos, Malolos, Philippines",1800000,2,1,46,41,14.9717467,120.9434431
"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Ungka II, Pavia, Philippines",7500000,4,3,119,150,13.9984308,121.1674592
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Aningway Sacatihan, Subic, Philippines",2292960,3,1,40,40,14.3723207,120.8976745
For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Tamiao, Compostela, Philippines",5251000,2,2,53,88,,
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Km.71, North Luzon Expressway Panipuan, Mexico, Philippines",11757000,5,3,166,176,,
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",2258057,3,1,45,62,14.366749,120.8184475
"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Longos, Malolos, Philippines",1400000,2,1,40,40,15.1987752,120.6026101
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","San Sebastian, Kawit, Philippines",5300000,3,2,70.27,67,7.1035383,125.4948467
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Sapang Biabas, Mabalacat, Philippines",26393000,3,3,219.3,91,14.4270005,121.0452782
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Alapan II-A, Imus, Philippines",32342000,3,3,247.4,93,14.4378843,121.0503212
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias, Philippines",2389000,3,1,50,50,14.3723207,120.8976745
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Eden, Mexico, Philippines",3500000,,,,104,14.1839549,121.1072903
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",3500000,,,,104,14.1839549,121.1072903
"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",5234791,3,2,75,112,14.4289186,120.928888
"Residential House and Lot near Ayala for Sale in San Antonio, Makati","Alapan II-A, Imus, Philippines",,12,8,500,1032,14.5621561,121.0086091
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya","Caingin, San Rafael, Philippines",12069000,5,3,142,176,14.87426,120.7915336
"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Km. 19 West Service Rd. Cupang, Muntinlupa, Philippines",3267000,2,2,76.18,66,14.3214271,120.94188
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model","Km.71, North Luzon Expressway Panipuan, Mexico, Philippines",2292960,3,1,40,40,14.4084522,120.8964956
